cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
HCC1187	Homo sapiens	breast	breast ductal adenocarcinoma; ductal carcinoma	41 year	not available	female	not available	not available
HCC-1171	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC1143	Homo sapiens	breast	breast ductal adenocarcinoma	52 year	not available	female; not available	not available	not available
HARA	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
HCC1419	Homo sapiens	breast	breast ductal adenocarcinoma	42 year	not available	female	not available	not available
HCC1395	Homo sapiens	breast	breast ductal adenocarcinoma	43 year	not available	female	not available	not available
HCC-1359	Homo sapiens	lung	lung giant cell carcinoma	not available	not available	not available	not available	not available
HCC-1195	Homo sapiens	lung	adenosquamous lung carcinoma	not available	not available	not available	not available	not available
TCC-PAN2	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	68 year	not available	female	not available	not available
TCCSUP	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
TE-10	Homo sapiens	esophagus	esophageal squamous cell carcinoma; esophageal carcinoma	not available	not available	male	not available	not available
TE-11	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
T84	Homo sapiens	large intestine	colon adenocarcinoma; colon carcinoma	not available	not available	not available	not available	not available
T98G	Homo sapiens	central nervous system	glioblastoma	61 year	not available	male	not available	not available
TALL-1	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
TC-71	Homo sapiens	bone	Ewing sarcoma; Ewing's sarcoma	22 year	not available	male	not available	not available
TE 125.T	Homo sapiens	fibroblast	rhabdomyosarcoma	not available	not available	not available	not available	not available
TE-14	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
LN-235	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
LN-229	Homo sapiens	central nervous system; brain	glioblastoma; glioma	not available		not available	not available
LN-215	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
LN-18	Homo sapiens	central nervous system	glioblastoma; glioma	not available	not available	not available	not available	not available
LMSU	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
LK-2	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
IM95	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
IMR-32	Homo sapiens	autonomic ganglion; brain	neuroblastoma	1 year		male	not available
IGR-39	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
IGROV1	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma; ovarian cancer	not available	not available	not available	not available	not available
IGR-1	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
IGR-37	Homo sapiens	skin	melanoma	26 year	not available	male	not available	not available
HuTu 80	Homo sapiens	small intestine	duodenal adenocarcinoma	not available	not available	not available	not available	not available
IA-LM	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
HuT 102	Homo sapiens	hematopoietic system and lymphoid system	mycosis fungoides	not available	not available	not available	not available	not available
HuT 78	Homo sapiens	hematopoietic system and lymphoid system	mycosis fungoides	not available	not available	not available	not available	not available
SLR26	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
SNB75	Homo sapiens	central nervous system	glioblastoma; central nervous system cancer	not available	not available	not available	not available	not available
SW 900	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	not available	not available	male	not available	not available
SW837	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	not available	not available	male	not available	not available
T1-73	Homo sapiens	fibroblast	osteosarcoma	not available	not available	not available	not available	not available
SW948	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
T3M-10	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
T24	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
SKNEP1	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
SKNO-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	not available	not available	not available	not available	not available
SK-UT-1	Homo sapiens	soft tissue	uterine leiomyosarcoma	not available	not available	not available	not available	not available
SLR20	Homo sapiens	kidney	bladder carcinoma	not available	not available	not available	not available	not available
SLR21	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
SLR23	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
SLR24	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
SLR25	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
ONS-76	Homo sapiens	central nervous system	medulloblastoma	not available	not available	not available	not available	not available
FTC-238	Homo sapiens	thyroid gland	follicular thyroid carcinoma	not available	not available	not available	not available	not available
FTC-133	Homo sapiens	thyroid gland	follicular thyroid carcinoma	not available	not available	not available	not available	not available
OVCAR-4	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma	not available	not available	female	not available	not available
OVCAR-8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma	not available	not available	female	not available	not available
LN-340	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
OV7	Homo sapiens	ovary	ovarian carcinoma	78 year	not available	female	not available	not available
OV-90	Homo sapiens	ovary	ovarian adenocarcinoma; ovarian papillary serous adenocarcinoma	not available	not available	female	not available	not available
OUMS-23	Homo sapiens	large intestine	colon carcinoma; colon adenocarcinoma	not available	not available	male	not available	not available
OV56	Homo sapiens	ovary	ovarian serous adenocarcinoma; ovarian carcinoma	46 year	not available	female	not available	not available
OPM-2	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	56 year	not available	female	not available	not available
OS-RC-2	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
OVISE	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	40 year	adult	female	not available	not available
OVK18	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma	not available	not available	not available	not available	not available
Hs 863.T	Homo sapiens	fibroblast	Ewing sarcoma	not available	not available	not available	not available	not available
Hs 852.T	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
Hs 888.T	Homo sapiens	fibroblast	osteosarcoma	not available	not available	not available	not available	not available
Hs 870.T	Homo sapiens	fibroblast	osteosarcoma	not available	not available	not available	not available	not available
